file,label
appliance_001_0.npy,appliance
appliance_001_1.npy,appliance
appliance_001_2.npy,appliance
appliance_002_0.npy,appliance
appliance_002_1.npy,appliance
appliance_002_2.npy,appliance
appliance_002_3.npy,appliance
appliance_002_4.npy,appliance
appliance_002_5.npy,appliance
appliance_002_6.npy,appliance
appliance_002_7.npy,appliance
appliance_002_8.npy,appliance
appliance_003_0.npy,appliance
appliance_003_1.npy,appliance
appliance_003_10.npy,appliance
appliance_003_11.npy,appliance
appliance_003_12.npy,appliance
appliance_003_2.npy,appliance
appliance_003_3.npy,appliance
appliance_003_4.npy,appliance
appliance_003_5.npy,appliance
appliance_003_6.npy,appliance
appliance_003_7.npy,appliance
appliance_003_8.npy,appliance
appliance_003_9.npy,appliance
appliance_004_0.npy,appliance
appliance_004_1.npy,appliance
appliance_004_2.npy,appliance
appliance_005_0.npy,appliance
appliance_005_1.npy,appliance
appliance_005_2.npy,appliance
appliance_005_3.npy,appliance
appliance_005_4.npy,appliance
appliance_005_5.npy,appliance
appliance_005_6.npy,appliance
appliance_005_7.npy,appliance
appliance_006_0.npy,appliance
appliance_006_1.npy,appliance
appliance_006_10.npy,appliance
appliance_006_11.npy,appliance
appliance_006_12.npy,appliance
appliance_006_13.npy,appliance
appliance_006_14.npy,appliance
appliance_006_15.npy,appliance
appliance_006_2.npy,appliance
appliance_006_3.npy,appliance
appliance_006_4.npy,appliance
appliance_006_5.npy,appliance
appliance_006_6.npy,appliance
appliance_006_7.npy,appliance
appliance_006_8.npy,appliance
appliance_006_9.npy,appliance
appliance_007_0.npy,appliance
appliance_007_1.npy,appliance
appliance_007_2.npy,appliance
appliance_008_0.npy,appliance
appliance_008_1.npy,appliance
appliance_008_2.npy,appliance
appliance_008_3.npy,appliance
appliance_008_4.npy,appliance
appliance_009_0.npy,appliance
appliance_009_1.npy,appliance
appliance_009_2.npy,appliance
appliance_009_3.npy,appliance
appliance_009_4.npy,appliance
appliance_009_5.npy,appliance
appliance_009_6.npy,appliance
appliance_009_7.npy,appliance
appliance_010_0.npy,appliance
appliance_010_1.npy,appliance
appliance_010_10.npy,appliance
appliance_010_11.npy,appliance
appliance_010_12.npy,appliance
appliance_010_13.npy,appliance
appliance_010_14.npy,appliance
appliance_010_2.npy,appliance
appliance_010_3.npy,appliance
appliance_010_4.npy,appliance
appliance_010_5.npy,appliance
appliance_010_6.npy,appliance
appliance_010_7.npy,appliance
appliance_010_8.npy,appliance
appliance_010_9.npy,appliance
fire_018_0.npy,fire_alarm
fire_018_1.npy,fire_alarm
fire_018_10.npy,fire_alarm
fire_018_11.npy,fire_alarm
fire_018_12.npy,fire_alarm
fire_018_13.npy,fire_alarm
fire_018_14.npy,fire_alarm
fire_018_15.npy,fire_alarm
fire_018_16.npy,fire_alarm
fire_018_17.npy,fire_alarm
fire_018_2.npy,fire_alarm
fire_018_3.npy,fire_alarm
fire_018_4.npy,fire_alarm
fire_018_5.npy,fire_alarm
fire_018_6.npy,fire_alarm
fire_018_7.npy,fire_alarm
fire_018_8.npy,fire_alarm
fire_018_9.npy,fire_alarm
fire_019_0.npy,fire_alarm
fire_019_1.npy,fire_alarm
fire_019_10.npy,fire_alarm
fire_019_11.npy,fire_alarm
fire_019_12.npy,fire_alarm
fire_019_13.npy,fire_alarm
fire_019_14.npy,fire_alarm
fire_019_15.npy,fire_alarm
fire_019_16.npy,fire_alarm
fire_019_17.npy,fire_alarm
fire_019_2.npy,fire_alarm
fire_019_3.npy,fire_alarm
fire_019_4.npy,fire_alarm
fire_019_5.npy,fire_alarm
fire_019_6.npy,fire_alarm
fire_019_7.npy,fire_alarm
fire_019_8.npy,fire_alarm
fire_019_9.npy,fire_alarm
fire_020_0.npy,fire_alarm
fire_020_1.npy,fire_alarm
fire_020_10.npy,fire_alarm
fire_020_11.npy,fire_alarm
fire_020_12.npy,fire_alarm
fire_020_13.npy,fire_alarm
fire_020_14.npy,fire_alarm
fire_020_15.npy,fire_alarm
fire_020_2.npy,fire_alarm
